loss,0,0.02,0.05,0.1,0.15,0.2,0.25,,corruption,0,0.02,0.05,0.1,0.15,0.2,0.25
GBN,10.94339,14.507,20.1181,32.3912,44.7455,60.7139,76.7118,,GBN,10.94339,11.3837,12.2927,13.5228,15.3126,17.1521,19.0797
Goodput,14.62069797,11.02915834,7.953037315,4.939613228,3.57577857,2.63531086,2.085728662,#DIV/0!,#VALUE!,14.62069797,14.05518417,13.01585494,11.83186914,10.44891135,9.328303823,8.385876088
,10.77594,13.9715,20.5397,32.9829,46.6853,57.1349,82.2339,,,10.77594,11.1465,11.9319,13.1074,14.6346,16.3383,18.5035
Goodput,14.84789262,11.45188419,7.789792451,4.850998548,3.427202995,2.800389954,1.945669608,#DIV/0!,#DIV/0!,14.84789262,14.35428161,13.40943186,12.20684499,10.93299441,9.792940514,8.647012727
,11.14762,14.2562,19.1539,30.0029,45.7719,59.4419,77.2602,,,11.14762,11.5445,12.2579,13.558,14.9793,16.2287,18.2408
Goodput,14.35283944,11.2231871,8.353390171,5.332817828,3.495594459,2.691704,2.070923969,#DIV/0!,#DIV/0!,14.35283944,13.85941357,13.05280676,11.80115061,10.68140701,9.859076821,8.771545108
,10.95872,13.9574,19.3398,31.1736,43.0221,62.1449,75.777,,,10.95872,11.5868,12.4866,13.9699,15.2642,16.8243,18.7394
Goodput,14.60024528,11.46345308,8.273094861,5.132548053,3.71901883,2.574628006,2.111458622,#DIV/0!,#DIV/0!,14.60024528,13.80881693,12.81373633,11.4531958,10.48204295,9.51005391,8.53816024
,11.25496,13.457,18.8124,32.2955,44.1367,63.0658,78.3252,,,11.25496,11.6428,12.3442,13.7372,15.0773,17.125,18.7698
Goodput,14.21595457,11.88972282,8.505028598,4.954250592,3.625101106,2.53703275,2.042765291,#DIV/0!,#DIV/0!,14.21595457,13.74239874,12.96155279,11.64720613,10.6119796,9.343065693,8.524331639
mu,11.016126,14.02982,19.59278,31.76922,44.8723,60.50028,78.06162,,,11.016126,11.46086,12.26266,13.57906,15.0536,16.73368,18.66664
sigma,0.167694747,0.350918021,0.638470997,1.059386467,1.270958284,2.087019506,2.243264202,,,0.167694747,0.179295606,0.182825125,0.284195718,0.242105985,0.386716632,0.280894618
positive interval,0.146990927,0.307593208,0.559644504,0.92859318,1.114044055,1.829353254,1.966307769,0,0,0.146990927,0.157159528,0.160253288,0.249108531,0.212215253,0.338972074,0.246214988
negative interval,0.146990927,0.307593208,0.559644504,0.92859318,1.114044055,1.829353254,1.966307769,,,10.86913507,11.30370047,12.10240671,13.32995147,14.84138475,16.39470793,18.42042501
Goodput_mu,14.52752598,11.41148111,8.174868679,5.04204565,3.568539192,2.647813114,2.051309231,#DIV/0!,#VALUE!,14.52752598,13.964019,13.05067654,11.78805333,10.63146706,9.566688152,8.57338516
sigma,0.220995943,0.287984015,0.263824462,0.171719837,0.101185606,0.092726218,0.057306393,#DIV/0!,#VALUE!,0.220995943,0.221251673,0.196980287,0.248775126,0.172885311,0.222136352,0.129224671
positive interval,0.193711485,0.252429119,0.231252337,0.150519074,0.088693095,0.081278114,0.050231268,#DIV/0!,#VALUE!,0.193711485,0.193935642,0.172660835,0.218061013,0.151540656,0.194711098,0.113270419
,,,,,,,,,,,,,,,,
SR,10.94339,14.5337,20.3898,33.4469,47.6705,68.6428,95.7179,,SR,10.94339,11.3836,12.3028,13.5873,15.3909,17.077,19.1853
Goodput,14.62069797,11.00889656,7.847060785,4.783701928,3.356373438,2.330907247,1.67157867,#DIV/0!,#VALUE!,14.62069797,14.05530764,13.00516955,11.77570231,10.39575333,9.369327165,8.33971843
,10.77594,14.1379,20.4617,33.9699,52.9491,72.8264,100.1294,,,10.77594,11.1465,11.8953,13.1114,14.6867,16.3501,18.2711
Goodput,14.84789262,11.31709801,7.819487139,4.710052134,3.021769964,2.197005482,1.597932276,#DIV/0!,#DIV/0!,14.84789262,14.35428161,13.45069061,12.20312095,10.89421041,9.785872869,8.756998758
,11.14762,14.2562,19.2453,30.8186,47.6562,69.7284,91.6626,,,11.14762,11.5393,12.251,13.5478,14.9159,16.2926,18.0999
Goodput,14.35283944,11.2231871,8.313718155,5.191669966,3.357380572,2.294617401,1.745531984,#DIV/0!,#DIV/0!,14.35283944,13.8656591,13.06015835,11.81003558,10.72680831,9.820409266,8.839827844
,10.95872,13.9574,19.5887,31.3133,46.4109,61.1873,86.4588,,,10.95872,11.5637,12.4264,13.844,15.1609,16.8928,18.6699
Goodput,14.60024528,11.46345308,8.167974393,5.109649893,3.447466005,2.614921724,1.850592421,#DIV/0!,#DIV/0!,14.60024528,13.83640184,12.87581279,11.55735337,10.55346318,9.471490813,8.569944135
,11.25496,13.457,19.1136,32.5365,46.2412,70.0728,99.515,,,11.25496,11.6427,12.3271,13.7542,15.0229,17.1311,18.7624
Goodput,14.21595457,11.88972282,8.371002846,4.917554132,3.460117817,2.283339613,1.607797819,#DIV/0!,#DIV/0!,14.21595457,13.74251677,12.9795329,11.63281034,10.65040705,9.339738838,8.527693685
mu,11.016126,14.06844,19.75982,32.41704,48.18558,68.49154,94.69674,,,11.016126,11.45516,12.24052,13.56894,15.03546,16.74872,18.59772
sigma,0.167694747,0.358534275,0.565884,1.204948871,2.456288911,3.903742272,5.115502963,,,0.167694747,0.175740463,0.181776207,0.253024154,0.235863805,0.358241435,0.382644767
positive interval,0.146990927,0.314269148,0.496019196,1.056184254,2.153032159,3.42178097,4.483936047,0,0,0.146990927,0.154043308,0.159333871,0.221785449,0.20674374,0.314012463,0.335402926
negative interval,0.146990927,0.314269148,0.496019196,1.056184254,2.153032159,3.42178097,4.483936047,0,0,0.146990927,0.154043308,0.159333871,0.221785449,0.20674374,0.314012463,0.335402926
Goodput,14.52416212,11.37297383,8.097239752,4.935675805,3.320495468,2.336054935,1.689604098,,,14.52416212,13.9675046,13.07134011,11.7916359,10.64151014,9.552968824,8.603205124
sigma,0.220995943,0.294294194,0.23079435,0.184334419,0.159480668,0.142334527,0.094166782,#DIV/0!,#VALUE!,0.220995943,0.216993267,0.197497782,0.223579672,0.166929178,0.205670553,0.176527825
positive interval,0.193711485,0.257960235,0.202300168,0.161576242,0.139790969,0.124761714,0.082540823,#DIV/0!,#VALUE!,0.193711485,0.190202985,0.173114438,0.195976224,0.146319876,0.180278188,0.154733461
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RTT * Throughput:,,,,,,,,,,,,,,,,
loss,0,0.02,0.05,0.1,0.15,0.2,0.25,,corruption,0,0.02,0.05,0.1,0.15,0.2,0.25
GBN,10.94339,11.0141,10.9989,11.0956,11.4409,11.8139,11.4785,,GBN,10.94339,11.0271,11.2602,11.1007,11.2147,11.1997,11.1926
Throughput,14.62069797,14.52683379,14.54690924,14.4201305,13.98491377,13.54336841,13.93910354,#DIV/0!,#VALUE!,14.62069797,14.5097079,14.20933909,14.41350545,14.26698886,14.28609695,14.2951593
,10.77594,10.7903,10.8244,10.8099,11.1366,10.8475,11.4042,,,10.77594,10.7662,11.1618,10.7467,11.1297,10.7187,11.157
Throughput,14.84789262,14.82813267,14.78141976,14.80124701,14.36704201,14.74994238,14.0299188,#DIV/0!,#DIV/0!,14.84789262,14.86132526,14.33460553,14.88829129,14.37594904,14.92718333,14.34077261
,11.14762,11.119,11.1264,11.3043,11.2525,11.2796,11.9158,,,11.14762,11.0749,11.0612,11.2115,11.2521,11.2347,11.2759
Throughput,14.35283944,14.38978325,14.38021283,14.15390604,14.21906243,14.18490017,13.42754998,#DIV/0!,#DIV/0!,14.35283944,14.44708304,14.46497668,14.27106096,14.2195679,14.24159079,14.18955471
,10.95872,11.025,10.9157,11.1148,10.953,11.2479,11.1667,,,10.95872,11.0228,10.8227,11.1952,10.7421,11.2517,10.7091
Throughput,14.60024528,14.51247166,14.65778649,14.39522079,14.60786999,14.22487753,14.32831544,#DIV/0!,#DIV/0!,14.60024528,14.51536815,14.78374158,14.29183936,14.89466678,14.22007341,14.94056457
,11.25496,11.2782,11.2731,11.2785,11.0195,11.7466,11.4528,,,11.25496,11.2826,11.0766,11.2529,11.1964,11.20278,11.1327
Throughput,14.21595457,14.18666099,14.1930791,14.18628364,14.51971505,13.62096266,13.97038279,#DIV/0!,#DIV/0!,14.21595457,14.18112846,14.44486575,14.21855699,14.2903076,14.28216925,14.37207506
mu,11.016126,11.04532,11.0277,11.12062,11.1605,11.3871,11.4836,#DIV/0!,#DIV/0!,11.016126,11.03472,11.0765,11.1014,11.107,11.121516,11.09346
Sigma,0.167694747,0.15879838,0.157903249,0.176562299,0.173549198,0.355949305,0.242693824,#DIV/0!,#DIV/0!,0.167694747,0.164536967,0.145375596,0.184220129,0.18671527,0.202354045,0.198203336
Interval,0.146990927,0.139192917,0.1384083,0.154763679,0.152122579,0.312003323,0.212730516,#DIV/0!,#DIV/0!,0.146990927,0.144223011,0.127427329,0.161476063,0.16366315,0.177371141,0.173732884
Throughput,14.52752598,14.48877647,14.51188148,14.39135759,14.33972065,14.06481023,13.93905411,#DIV/0!,#VALUE!,14.52752598,14.50292256,14.44750573,14.41665081,14.40949604,14.39142275,14.42762525
sigma,0.167694747,0.15879838,0.157903249,0.176562299,0.173549198,0.355949305,0.242693824,#DIV/0!,#DIV/0!,0.167694747,0.164536967,0.145375596,0.184220129,0.18671527,0.202354045,0.198203336
positive interval,0.146990927,0.139192917,0.1384083,0.154763679,0.152122579,0.312003323,0.212730516,#DIV/0!,#DIV/0!,0.146990927,0.144223011,0.127427329,0.161476063,0.16366315,0.177371141,0.173732884
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SR,10.94339,11.0224,11.0879,11.1101,10.9337,11.5129,11.3573,,SR,10.94339,10.8719,10.8988,10.9291,10.7767,11.1504,11.3072
Throughput,14.62069797,14.5158949,14.43014457,14.40131052,14.63365558,13.89745416,14.08785539,#DIV/0!,#VALUE!,14.62069797,14.71683882,14.68051529,14.63981481,14.84684551,14.34926101,14.15027593
,10.77594,11.0141,11.1156,10.7572,11.1404,11.1334,11.9236,,,10.77594,11.2826,10.8227,11.2115,10.7057,11.2347,11.1926
Throughput,14.84789262,14.52683379,14.39418475,14.87375897,14.3621414,14.37117143,13.41876614,#DIV/0!,#DIV/0!,14.84789262,14.18112846,14.78374158,14.27106096,14.94530951,14.24159079,14.2951593
,11.14762,11.119,11.1264,11.1148,11.0195,11.2796,11.9158,,,11.14762,11.0749,11.1618,11.1007,11.2782,10.7187,11.2759
Throughput,14.35283944,14.38978325,14.38021283,14.39522079,14.51971505,14.18490017,13.42754998,#DIV/0!,#DIV/0!,14.35283944,14.44708304,14.33460553,14.41350545,14.18666099,14.92718333,14.18955471
,10.95872,11.4528,11.2731,11.1037,11.2525,11.2479,11.4785,,,10.95872,11.2826,11.0766,11.2529,11.1964,11.2517,10.7091
Throughput,14.60024528,13.97038279,14.1930791,14.40961121,14.21906243,14.22487753,13.93910354,#DIV/0!,#DIV/0!,14.60024528,14.18112846,14.44486575,14.21855699,14.2903076,14.22007341,14.94056457
,11.25496,11.0195,11.1989,11.2785,11.4409,11.7466,11.4042,,,11.25496,11.0228,11.2602,11.12355,11.1297,11.20278,11.2347
Throughput,14.21595457,14.51971505,14.28711748,14.18628364,13.98491377,13.62096266,14.0299188,#DIV/0!,#DIV/0!,14.21595457,14.51536815,14.20933909,14.38389723,14.37594904,14.28216925,14.24159079
mu,11.016126,11.12556,11.16038,11.07286,11.1574,11.38408,11.61588,#DIV/0!,#DIV/0!,11.016126,11.10696,11.04402,11.12355,11.01734,11.111656,11.1439
Sigma,0.187488427,0.188044604,0.075171185,0.191066698,0.199225601,0.245110622,0.280708438,#DIV/0!,#DIV/0!,0.187488427,0.176821076,0.181479178,0.125299192,0.258728763,0.223030966,0.246859403
Interval,0.164340852,0.164828363,0.065890448,0.167477345,0.174628939,0.214848933,0.246051794,#DIV/0!,#DIV/0!,0.164340852,0.154990507,0.159073513,0.109829584,0.22678576,0.195495261,0.216381807
Throughput,14.52752598,14.38452196,14.33694775,14.45323702,14.34389765,14.05987319,13.78063877,#DIV/0!,#VALUE!,14.52752598,14.40830939,14.49061345,14.38536709,14.52901453,14.40405556,14.36342906
sigma,0.167694747,0.168192207,0.067235152,0.17089525,0.178192794,0.219233605,0.251073259,#DIV/0!,#DIV/0!,0.167694747,0.158153579,0.162319911,0.112071004,0.231414041,0.19948496,0.220797763
positive interval,0.146990927,0.147426969,0.058934209,0.149796291,0.156192871,0.192166728,0.220075415,#DIV/0!,#DIV/0!,0.146990927,0.138627724,0.142279675,0.098234566,0.20284335,0.174856277,0.193537772
